loan_amount,repayment_rate,default_history,income_level,credit_score,repayment_probability
49127,0.695438109035625,4,82098,598,1
9873,0.6144891222688658,2,77629,789,0
39822,0.6805394478983836,4,82688,777,0
33250,0.773090173129731,3,62635,752,1
25380,0.638373313962398,3,96781,787,0
27984,0.5333879653295208,2,75015,567,1
33753,0.8569085831434532,0,26085,546,1
42881,0.5026485857491171,3,72429,770,1
25205,0.6046493410040104,4,41448,541,1
7828,0.8095952513782553,3,93674,586,0
49943,0.8970658295249072,1,82111,497,1
3415,0.507983638904222,3,55571,440,0
5121,0.5633402399650724,0,25209,614,1
30990,0.7773931106526941,2,70079,661,1
34764,0.541658084039708,3,90717,703,1
1026,0.7556516963361964,1,80919,512,1
2115,0.9565382086126687,1,60210,791,1
10401,0.9249595700112241,1,73358,381,0
12250,0.5613887819551454,1,27697,305,1
38884,0.9356484311615296,1,55162,375,1
34598,0.9317260309734441,0,62784,350,1
14420,0.905920970522385,0,80917,726,1
23378,0.700707900611508,4,32997,429,1
45171,0.6624108734107422,1,23704,729,1
22324,0.525128721103095,0,28739,463,1
44955,0.5697209008978519,3,36786,360,0
29021,0.7015051418085182,1,71919,516,1
35450,0.677670005738342,3,74413,713,1
32853,0.976878416679849,0,58397,619,1
17440,0.6570200391648728,1,22077,685,0
42767,0.647333543600494,3,69325,686,1
22119,0.7845630140083184,0,43086,587,1
42314,0.6924553302375354,4,87148,321,1
3977,0.6826047252197405,2,91842,812,1
41458,0.8567440326882556,2,61799,557,1
17727,0.881725862918366,3,35318,460,1
39413,0.5087343177622554,1,61993,394,0
37577,0.575098620584361,2,57941,577,1
30220,0.8427664665828785,2,24988,747,1
43120,0.9473225894733159,0,44228,397,1
42918,0.8298790837813605,4,87678,802,0
35255,0.8922494153051399,1,49347,764,0
15748,0.6252733356450675,0,28118,673,0
24280,0.673643802406189,2,84864,609,1
6979,0.5473540014162241,1,20036,395,1
3890,0.9506506793039453,4,20904,721,0
45233,0.7204544579986948,1,54683,391,1
18745,0.6561285905907792,0,64322,413,1
18849,0.7187240719796953,3,31279,685,1
10034,0.7233622306543313,0,29329,410,1
28770,0.6354682075413269,2,36454,695,0
12018,0.5874258475490559,1,61559,620,1
34263,0.9092074999588482,2,99514,712,1
48230,0.5344772601447961,3,55791,680,1
19805,0.5521638899501844,4,98094,448,1
36402,0.9860451400713599,2,57492,706,1
40572,0.8278976964293057,4,63631,482,0
31249,0.9939734064271638,1,66665,787,1
31598,0.7419303856509079,3,45194,601,1
46327,0.8869257095393878,1,75214,438,1
14101,0.9595066160520132,4,41101,507,0
20079,0.8199929956694818,2,62786,679,1
4594,0.7683001606478317,0,21041,695,1
23864,0.8469989577512089,3,62347,533,1
49708,0.5386902554282094,0,60111,479,1
33960,0.8330218775899478,2,88718,329,1
43618,0.744792866937996,4,42289,482,0
32486,0.6940368602945322,4,37089,701,1
11254,0.6240339097483738,3,69306,566,1
33301,0.6166704874371778,0,78890,390,0
19470,0.6973312793402614,2,96964,442,1
2860,0.7143093500795665,4,99507,640,0
17571,0.9579455541044815,1,34394,784,1
29265,0.6570220738472985,1,42695,379,1
42361,0.6224923000088229,2,37341,811,1
40665,0.6915275054635754,3,80818,447,1
2420,0.6824477031011335,0,51977,335,1
10587,0.7350531813291552,0,86391,748,1
22267,0.9652615577264311,4,54492,466,1
28176,0.953448159593045,2,93511,806,0
